crop_id,crop_name,season,soil_type,minimum_rainfall,maximum_rainfall,water_requirement,market_category,insurance_available,recommended_schemes,recommended_loans
CROP001,Paddy (Rice),Rabi,Alluvial Soil,1050,1950,High,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP002,Wheat,Rabi,Sandy Loam Soil,850,1200,Medium,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP003,Maize,Rabi,Clay Loam Soil,1200,1950,High,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP004,Barley,Kharif,Sandy Loam Soil,1200,1700,High,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP005,Sorghum (Jowar),Kharif,Saline / Alkaline Tolerant Soil,800,950,Medium,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP006,Pearl Millet (Bajra),Rabi,Black Soil (Regur),1250,1850,High,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP007,Finger Millet (Ragi),Rabi,Red Soil,700,1050,Medium,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP008,Foxtail Millet,Rabi,Clay Loam Soil,700,1050,Medium,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP009,Little Millet,Rabi,Clay Loam Soil,750,950,Medium,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP010,Kodo Millet,Kharif,Black Soil (Regur),600,1200,Medium,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP011,Proso Millet,Rabi,Clay Loam Soil,1200,1700,High,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP012,Buckwheat,Rabi,Laterite Soil,750,1000,Medium,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP013,Barnyard Millet,Kharif,Laterite Soil,1150,1900,High,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP014,Amaranth Grain,Kharif,Sandy Loam Soil,1200,1800,High,Cereal,Yes,National Food Security Mission (NFSM); Pradhan Mantri Fasal Bima Yojana (PMFBY); Rythu Bandhu Investment Support Scheme,Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP015,Chickpea (Gram),Rabi,Saline / Alkaline Tolerant Soil,550,650,Low,Pulse,Yes,National Food Security Mission (NFSM); Rashtriya Krishi Vikas Yojana (RKVY),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP016,Pigeon Pea (Tur/Arhar),Kharif,Clay Loam Soil,500,650,Low,Pulse,Yes,National Food Security Mission (NFSM); Rashtriya Krishi Vikas Yojana (RKVY),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP017,Green Gram (Moong),Kharif,Red Soil,300,450,Low,Pulse,Yes,National Food Security Mission (NFSM); Rashtriya Krishi Vikas Yojana (RKVY),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP018,Black Gram (Urad),Rabi,Laterite Soil,650,900,Medium,Pulse,Yes,National Food Security Mission (NFSM); Rashtriya Krishi Vikas Yojana (RKVY),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP019,Lentil (Masoor),Kharif,Sandy Loam Soil,550,850,Low,Pulse,Yes,National Food Security Mission (NFSM); Rashtriya Krishi Vikas Yojana (RKVY),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP020,Field Pea,Rabi,Saline / Alkaline Tolerant Soil,850,1050,Medium,Pulse,Yes,National Food Security Mission (NFSM); Rashtriya Krishi Vikas Yojana (RKVY),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP021,Horse Gram,Kharif,Red Soil,700,1000,Medium,Pulse,Yes,National Food Security Mission (NFSM); Rashtriya Krishi Vikas Yojana (RKVY),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP022,Cowpea (Lobia),Kharif,Sandy Loam Soil,450,750,Low,Pulse,Yes,National Food Security Mission (NFSM); Rashtriya Krishi Vikas Yojana (RKVY),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP023,Rajma (Kidney Bean),Kharif,Well-Drained Loamy Soil,500,700,Low,Pulse,Yes,National Food Security Mission (NFSM); Rashtriya Krishi Vikas Yojana (RKVY),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP024,Moth Bean,Kharif,Clay Loam Soil,850,1200,Medium,Pulse,Yes,National Food Security Mission (NFSM); Rashtriya Krishi Vikas Yojana (RKVY),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP025,Rice Bean,Kharif,Well-Drained Loamy Soil,300,450,Low,Pulse,Yes,National Food Security Mission (NFSM); Rashtriya Krishi Vikas Yojana (RKVY),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP026,Groundnut,Kharif,Alluvial Soil,550,600,Low,Oilseed,Yes,National Mission on Edible Oils - Oil Palm (NMEO-OP); National Food Security Mission (NFSM),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP027,Soybean,Kharif,Alluvial Soil,450,600,Low,Oilseed,Yes,National Mission on Edible Oils - Oil Palm (NMEO-OP); National Food Security Mission (NFSM),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP028,Mustard,Kharif,Alluvial Soil,350,600,Low,Oilseed,Yes,National Mission on Edible Oils - Oil Palm (NMEO-OP); National Food Security Mission (NFSM),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP029,Sunflower,Kharif,Black Soil (Regur),500,800,Low,Oilseed,Yes,National Mission on Edible Oils - Oil Palm (NMEO-OP); National Food Security Mission (NFSM),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP030,Sesame (Til),Rabi,Black Soil (Regur),400,700,Low,Oilseed,Yes,National Mission on Edible Oils - Oil Palm (NMEO-OP); National Food Security Mission (NFSM),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP031,Castor,Kharif,Black Soil (Regur),550,700,Low,Oilseed,Yes,National Mission on Edible Oils - Oil Palm (NMEO-OP); National Food Security Mission (NFSM),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP032,Linseed,Kharif,Laterite Soil,450,750,Low,Oilseed,Yes,National Mission on Edible Oils - Oil Palm (NMEO-OP); National Food Security Mission (NFSM),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP033,Safflower,Rabi,Clay Loam Soil,850,1050,Medium,Oilseed,Yes,National Mission on Edible Oils - Oil Palm (NMEO-OP); National Food Security Mission (NFSM),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP034,Niger Seed,Rabi,Laterite Soil,800,1200,Medium,Oilseed,Yes,National Mission on Edible Oils - Oil Palm (NMEO-OP); National Food Security Mission (NFSM),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP035,Rapeseed,Rabi,Well-Drained Loamy Soil,350,450,Low,Oilseed,Yes,National Mission on Edible Oils - Oil Palm (NMEO-OP); National Food Security Mission (NFSM),Kisan Credit Card (KCC); Crop Loan (Seasonal Agricultural Operations)
CROP036,Cotton,Year-round (Perennial),Well-Drained Loamy Soil,1050,1800,High,Cash Crop / Fibre,Yes,Rashtriya Krishi Vikas Yojana (RKVY); Telangana Farm Mechanization Scheme,Warehouse Receipt / Post-Harvest Loan; Crop Loan (Seasonal Agricultural Operations)
