rule_id,condition_json,recommended_scheme,recommended_loan,recommended_insurance,priority,confidence,reason
1,"{""state"": ""Telangana"", ""crop"": ""Cotton"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.87,"Farmer in Telangana cultivating Cotton with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Cotton is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Cotton cultivation."
2,"{""state"": ""Telangana"", ""crop"": ""Cotton"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",2,0.79,"Farmer in Telangana cultivating Cotton with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Cotton is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Cotton cultivation."
3,"{""state"": ""Telangana"", ""crop"": ""Cotton"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",3,0.94,"Farmer in Telangana cultivating Cotton with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Cotton is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Cotton cultivation."
4,"{""state"": ""Telangana"", ""crop"": ""Cotton"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",4,0.94,"Farmer in Telangana cultivating Cotton with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Cotton is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Cotton cultivation."
5,"{""state"": ""Telangana"", ""crop"": ""Cotton"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.85,"Farmer in Telangana cultivating Cotton with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Cotton is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Cotton cultivation."
6,"{""state"": ""Telangana"", ""crop"": ""Rice"", ""land_acres"": ""<2 Acres"", ""income_inr"": ""<200000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.91,"Farmer in Telangana cultivating Rice with land holding <2 Acres and annual income <200000 INR falls into the 'marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Rice is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Rice cultivation."
7,"{""state"": ""Telangana"", ""crop"": ""Rice"", ""land_acres"": ""2-5 Acres"", ""income_inr"": ""200000-300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",2,0.85,"Farmer in Telangana cultivating Rice with land holding 2-5 Acres and annual income 200000-300000 INR falls into the 'small' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Rice is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Rice cultivation."
8,"{""state"": ""Telangana"", ""crop"": ""Rice"", ""land_acres"": ""5-10 Acres"", ""income_inr"": ""300000-500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), PM Krishi Sinchai Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), Crop Loan, Farm Mechanization Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",3,0.86,"Farmer in Telangana cultivating Rice with land holding 5-10 Acres and annual income 300000-500000 INR falls into the 'semi-medium' farmer segment. Rice is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Rice cultivation."
9,"{""state"": ""Telangana"", ""crop"": ""Rice"", ""land_acres"": "">10 Acres"", ""income_inr"": "">500000""}","Soil Health Card Scheme, Rashtriya Krishi Vikas Yojana (RKVY), Agriculture Infrastructure Fund, e-NAM Registration, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), Crop Loan, Warehouse Receipt Financing, Tractor / Farm Equipment Loan, NABARD Refinance - Land Development Loan","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",4,0.88,"Farmer in Telangana cultivating Rice with land holding >10 Acres and annual income >500000 INR falls into the 'large' farmer segment. Rice is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Larger land holding and higher income support infrastructure and mechanization financing. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Rice cultivation."
10,"{""state"": ""Telangana"", ""crop"": ""Rice"", ""land_acres"": ""<5 Acres"", ""income_inr"": ""<300000""}","PM-KISAN, Soil Health Card Scheme, PM Kisan Maandhan Yojana, PM Krishi Sinchai Yojana - Per Drop More Crop","Kisan Credit Card (KCC), SBI Agriculture Gold Loan, Interest Subvention Scheme (Short Term Crop Loan)","Pradhan Mantri Fasal Bima Yojana (PMFBY), Weather Based Crop Insurance Scheme (WBCIS) - Drought Rider",1,0.89,"Farmer in Telangana cultivating Rice with land holding <5 Acres and annual income <300000 INR falls into the 'small-marginal' farmer segment. Eligible for PM-KISAN direct income support due to small/marginal land holding. Rice is a priority crop under PMFBY in Telangana, warranting crop insurance coverage. Low collateral base suggests gold-backed lending as an accessible credit option. Telangana has drought-prone zones, increasing relevance of weather-based insurance for water-intensive Rice cultivation."
