loan_id,bank_name,loan_name,loan_type,interest_rate,minimum_interest,maximum_interest,loan_amount_min,loan_amount_max,repayment_years,processing_fee,collateral_required,crop_specific,equipment_supported,livestock_supported,working_capital,maximum_subsidy,government_linked,approval_days,required_documents,eligibility_summary,loan_score
LOAN001,State Bank of India (SBI),State Bank of India Kisan Credit Card,Kisan Credit Card (KCC),3.91% - 6.86% p.a.,3.91,6.86,10000,150000,5,Nil,No,No,No,No,Yes,25000,Yes,15,KCC Application Form; Bank Statement (6 months); Aadhaar Card; PAN Card; Crop Sowing Certificate,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",5.8
LOAN002,State Bank of India (SBI),State Bank of India Crop Production Loan,Crop Loan (Seasonal Agricultural Operations),6.3% - 9.57% p.a.,6.3,9.57,65000,225000,1,0.50% of loan amount,No,Horticulture Crops,No,No,Yes,10000,Yes,15,Aadhaar Card; Bank Statement (6 months); Voter ID / Address Proof; KCC Application Form; Land Ownership / Pattadar Passbook; Passport Size Photographs; Existing Loan Statement (if any); PAN Card,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,6.0
LOAN003,State Bank of India (SBI),State Bank of India Tractor & Farm Equipment Loan,Farm Mechanization / Tractor Loan,7.9% - 11.86% p.a.,7.9,11.86,155000,875000,7,"Flat INR 2,500",Yes,No,Yes,No,No,0,No,15,PAN Card; KCC Application Form; Voter ID / Address Proof; No Dues Certificate from other Banks; Aadhaar Card; Bank Statement (6 months); Collateral / Security Documents,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",7.8
LOAN004,State Bank of India (SBI),State Bank of India Dairy Development Loan,Dairy & Livestock Development Loan,7.14% - 10.6% p.a.,7.14,10.6,95000,775000,5,1.00% of loan amount,No,No,No,Yes,Yes,150000,Yes,5,PAN Card; No Dues Certificate from other Banks; Passport Size Photographs; KCC Application Form; Collateral / Security Documents; Income Proof,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",7.4
LOAN005,State Bank of India (SBI),State Bank of India Micro Irrigation Finance Scheme,Micro Irrigation / Drip & Sprinkler Loan,7.55% - 9.8% p.a.,7.55,9.8,70000,625000,4,1.50% of loan amount,No,No,Yes,No,No,15000,Yes,10,Aadhaar Card; Quotation of Equipment / Machinery; PAN Card; KCC Application Form; Income Proof; No Dues Certificate from other Banks; Collateral / Security Documents; Land Ownership / Pattadar Passbook,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,7.6
LOAN006,State Bank of India (SBI),State Bank of India Warehouse Receipt Finance,Warehouse Receipt / Post-Harvest Loan,8.65% - 10.8% p.a.,8.65,10.8,60000,1425000,2,Nil (Govt. Linked Scheme),Yes,Cotton,No,No,Yes,0,No,10,Quotation of Equipment / Machinery; No Dues Certificate from other Banks; Voter ID / Address Proof; Collateral / Security Documents; Passport Size Photographs; Crop Sowing Certificate; Income Proof,Applicable to farmers with a minimum operational landholding and an active bank account for disbursement.,5.6
LOAN007,State Bank of India (SBI),State Bank of India Horticulture Development Loan,Horticulture & Plantation Loan,7.48% - 10.38% p.a.,7.48,10.38,65000,1775000,5,1.00% of loan amount,Yes,Groundnut,No,No,No,15000,Yes,15,Crop Sowing Certificate; Collateral / Security Documents; PAN Card; Land Ownership / Pattadar Passbook; Existing Loan Statement (if any); Voter ID / Address Proof; Passport Size Photographs; No Dues Certificate from other Banks,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",9.0
LOAN008,State Bank of India (SBI),State Bank of India FPO Business Development Loan,Farmer Producer Organisation (FPO) Term Loan,9.18% - 11.96% p.a.,9.18,11.96,330000,3125000,9,1.00% of loan amount,Yes,No,Yes,No,Yes,15000,Yes,10,Land Ownership / Pattadar Passbook; Bank Statement (6 months); Quotation of Equipment / Machinery; Existing Loan Statement (if any); Aadhaar Card; Collateral / Security Documents,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,6.3
LOAN009,State Bank of India (SBI),State Bank of India Solar Agri Pump Finance Scheme,Solar Pump / Renewable Energy Agri Loan,6.39% - 9.36% p.a.,6.39,9.36,135000,775000,7,"Flat INR 2,500",No,No,Yes,No,No,25000,Yes,5,Collateral / Security Documents; Quotation of Equipment / Machinery; KCC Application Form; Crop Sowing Certificate; No Dues Certificate from other Banks,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",7.2
LOAN010,State Bank of India (SBI),State Bank of India Agri Gold Loan,Gold Loan for Agricultural Purposes,6.99% - 10.05% p.a.,6.99,10.05,25000,2100000,1,"Flat INR 1,000",Yes,No,No,No,Yes,0,No,15,Income Proof; No Dues Certificate from other Banks; Aadhaar Card; PAN Card; Quotation of Equipment / Machinery,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,6.2
LOAN011,State Bank of India (SBI),State Bank of India Fisheries Development Loan,Fisheries & Aquaculture Loan,7.3% - 10.52% p.a.,7.3,10.52,50000,800000,4,"Flat INR 2,500",No,No,No,Yes,Yes,50000,Yes,5,Income Proof; No Dues Certificate from other Banks; Voter ID / Address Proof; Collateral / Security Documents; PAN Card; KCC Application Form; Crop Sowing Certificate,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",9.8
LOAN012,State Bank of India (SBI),State Bank of India Agri Infrastructure Finance Scheme,Agri Infrastructure & Cold Storage Loan,7.98% - 11.11% p.a.,7.98,11.11,550000,5900000,6,Nil (Govt. Linked Scheme),Yes,No,Yes,No,No,25000,Yes,20,Existing Loan Statement (if any); Land Ownership / Pattadar Passbook; KCC Application Form; Aadhaar Card; Bank Statement (6 months); Income Proof; PAN Card; Collateral / Security Documents,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,9.4
LOAN013,Canara Bank,Canara Bank Kisan Credit Card,Kisan Credit Card (KCC),4.13% - 6.97% p.a.,4.13,6.97,15000,275000,3,0.50% of loan amount,No,No,No,No,Yes,25000,Yes,5,Voter ID / Address Proof; Bank Statement (6 months); KCC Application Form; Quotation of Equipment / Machinery; No Dues Certificate from other Banks; Income Proof; Collateral / Security Documents,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",8.1
LOAN014,Canara Bank,Canara Bank Crop Production Loan,Crop Loan (Seasonal Agricultural Operations),6.64% - 9.82% p.a.,6.64,9.82,35000,500000,1,0.25% of loan amount,No,Maize,No,No,Yes,15000,Yes,15,Income Proof; Existing Loan Statement (if any); Aadhaar Card; Quotation of Equipment / Machinery; Passport Size Photographs; Collateral / Security Documents; Land Ownership / Pattadar Passbook; PAN Card,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",8.1
LOAN015,Canara Bank,Canara Bank Tractor & Farm Equipment Loan,Farm Mechanization / Tractor Loan,7.92% - 11.86% p.a.,7.92,11.86,210000,1075000,3,1.00% of loan amount,Yes,No,Yes,No,No,0,No,10,Collateral / Security Documents; Bank Statement (6 months); Income Proof; Existing Loan Statement (if any); Voter ID / Address Proof; Aadhaar Card,"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",9.4
LOAN016,Canara Bank,Canara Bank Dairy Development Loan,Dairy & Livestock Development Loan,6.92% - 10.73% p.a.,6.92,10.73,40000,800000,4,"Flat INR 1,000",No,No,No,Yes,Yes,15000,Yes,10,PAN Card; Existing Loan Statement (if any); Crop Sowing Certificate; Collateral / Security Documents; Quotation of Equipment / Machinery; Voter ID / Address Proof; Income Proof,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",6.2
LOAN017,Canara Bank,Canara Bank Micro Irrigation Finance Scheme,Micro Irrigation / Drip & Sprinkler Loan,7.31% - 9.86% p.a.,7.31,9.86,100000,650000,4,"Flat INR 2,500",No,No,Yes,No,No,150000,Yes,15,Quotation of Equipment / Machinery; Income Proof; Land Ownership / Pattadar Passbook; KCC Application Form; No Dues Certificate from other Banks; Voter ID / Address Proof; Aadhaar Card; Crop Sowing Certificate,"Applicable to small and marginal farmers, women farmer groups, and registered producer organisations.",8.3
LOAN018,Canara Bank,Canara Bank Warehouse Receipt Finance,Warehouse Receipt / Post-Harvest Loan,8.51% - 11.45% p.a.,8.51,11.45,115000,1300000,1,0.50% of loan amount,Yes,Groundnut,No,No,Yes,0,No,15,KCC Application Form; Bank Statement (6 months); No Dues Certificate from other Banks; Income Proof; Passport Size Photographs; Crop Sowing Certificate; Collateral / Security Documents,"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",5.8
LOAN019,Canara Bank,Canara Bank Horticulture Development Loan,Horticulture & Plantation Loan,7.62% - 10.92% p.a.,7.62,10.92,140000,2300000,11,"Flat INR 2,500",Yes,Sugarcane,No,No,No,75000,Yes,15,Collateral / Security Documents; Land Ownership / Pattadar Passbook; No Dues Certificate from other Banks; Aadhaar Card; Existing Loan Statement (if any),"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",6.1
LOAN020,Canara Bank,Canara Bank FPO Business Development Loan,Farmer Producer Organisation (FPO) Term Loan,9.06% - 11.84% p.a.,9.06,11.84,215000,3025000,10,0.50% of loan amount,Yes,No,Yes,No,Yes,75000,Yes,10,Bank Statement (6 months); Passport Size Photographs; Aadhaar Card; PAN Card; KCC Application Form; Collateral / Security Documents,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,5.6
LOAN021,Canara Bank,Canara Bank Solar Agri Pump Finance Scheme,Solar Pump / Renewable Energy Agri Loan,6.7% - 9.3% p.a.,6.7,9.3,100000,975000,7,"Flat INR 2,500",No,No,Yes,No,No,75000,Yes,5,Collateral / Security Documents; KCC Application Form; Existing Loan Statement (if any); Voter ID / Address Proof; Quotation of Equipment / Machinery; Bank Statement (6 months); Income Proof,Extended to existing KCC holders and new-to-bank farmers with proof of agricultural land or lease agreement.,9.3
LOAN022,Canara Bank,Canara Bank Agri Gold Loan,Gold Loan for Agricultural Purposes,7.22% - 9.94% p.a.,7.22,9.94,50000,2300000,2,1.00% of loan amount,Yes,No,No,No,Yes,0,No,25,Crop Sowing Certificate; Collateral / Security Documents; Income Proof; PAN Card; Bank Statement (6 months),"Available to farmers, agri-entrepreneurs, and cooperative members meeting the bank's minimum credit score norms.",5.8
LOAN023,Canara Bank,Canara Bank Fisheries Development Loan,Fisheries & Aquaculture Loan,7.58% - 10.84% p.a.,7.58,10.84,70000,1275000,4,1.50% of loan amount,No,No,No,Yes,Yes,15000,Yes,10,Existing Loan Statement (if any); PAN Card; Crop Sowing Certificate; Collateral / Security Documents; Land Ownership / Pattadar Passbook; Bank Statement (6 months),"Open to individual farmers, joint liability groups, and FPOs engaged in agricultural or allied activities.",8.5
