insurance_id,insurance_name,provider,coverage_type,covered_crop,covered_risk,premium_percentage,government_subsidy,claim_period,coverage_amount,documents_required,eligible_farmer,claim_process,district_applicable,priority_score
INS001,Pradhan Mantri Fasal Bima Yojana - Commercial/Horticultural Red Gram (Tur Dal) Cover,HDFC ERGO General Insurance (PMFBY Empanelled),Yield-Based Crop Insurance,Red Gram (Tur Dal),"Localized Risks - Landslide, Inundation",2.0,60,Within 30 days of yield data finalization,250000,Ration Card; Land Ownership / Pattadar Passbook; Ear-Tag / Animal Identification Certificate; Village / Revenue Officer Certificate; Tenant Farmer / Sharecropper Certificate; Passport Size Photograph; Aadhaar Card,All Farmers (Loanee and Non-Loanee),Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,"Adilabad, Karimnagar, Nizamabad, Sangareddy, Siddipet, Warangal",7.2
INS002,Pradhan Mantri Fasal Bima Yojana - Kharif Sugarcane Cover,IFFCO-Tokio General Insurance (PMFBY Empanelled),Yield-Based Crop Insurance,Sugarcane,Prevented Sowing / Planting Risk,2.0,75,Within 45 days of Crop Cutting Experiment results,200000,Livestock Health & Vaccination Certificate; Premium Payment Receipt; Aadhaar Card; Land Ownership / Pattadar Passbook,Farmers with Registered Livestock and Health Certificate,"Loss intimation within 72 hours via toll-free number, insurer portal, or Common Service Centre; yield-based assessment through Crop Cutting Experiments (CCE) determines the claim payout.",All Districts,9.0
INS003,Pradhan Mantri Fasal Bima Yojana - Commercial/Horticultural Bajra Cover,Agriculture Insurance Company of India (AIC),Yield-Based Crop Insurance,Bajra,Pest & Disease Attack,5.0,50,Within 45 days of Crop Cutting Experiment results,100000,Land Ownership / Pattadar Passbook; Livestock Health & Vaccination Certificate; Aadhaar Card; Insurance Proposal Form; Tenant Farmer / Sharecropper Certificate,All Farmers (Loanee and Non-Loanee),"Automatic claim trigger based on recorded weather-station data against the notified index; no individual loss intimation required, payout credited directly to the linked bank account.",All Districts,8.4
INS004,Pradhan Mantri Fasal Bima Yojana - Commercial/Horticultural Wheat Cover,National Insurance Company (PMFBY Empanelled),Yield-Based Crop Insurance,Wheat,"Flood, Inundation & Excess Rainfall",2.0,75,Within 45 days of Crop Cutting Experiment results,50000,Land Ownership / Pattadar Passbook; Ration Card; Passport Size Photograph; Crop Sowing Certificate; Premium Payment Receipt; Tenant Farmer / Sharecropper Certificate,Landowning Farmers with Revenue Records,Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,State-wide (All Notified Districts),10.0
INS005,Pradhan Mantri Fasal Bima Yojana - Kharif Soybean Cover,IFFCO-Tokio General Insurance (PMFBY Empanelled),Yield-Based Crop Insurance,Soybean,"Drought, Dry Spell & Deficit Rainfall",1.5,90,Within 60 days of claim intimation,100000,Insurance Proposal Form; Bank Passbook / Cancelled Cheque; Ration Card; Village / Revenue Officer Certificate,Loanee Farmers (Compulsory Coverage via KCC/Crop Loan),"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.","Jagtial, Karimnagar, Medak, Nizamabad, Suryapet",5.9
INS006,Pradhan Mantri Fasal Bima Yojana - Commercial/Horticultural Groundnut Cover,SBI General Insurance (PMFBY Empanelled),Yield-Based Crop Insurance,Groundnut,Post-Harvest Losses (up to 14 days),2.0,50,Within 30 days of yield data finalization,50000,Land Ownership / Pattadar Passbook; Passport Size Photograph; Premium Payment Receipt; Ear-Tag / Animal Identification Certificate,Farmers with Registered Livestock and Health Certificate,"Loss intimation within 72 hours via toll-free number, insurer portal, or Common Service Centre; yield-based assessment through Crop Cutting Experiments (CCE) determines the claim payout.","Karimnagar, Mahbubnagar, Siddipet, Suryapet",5.1
INS007,Pradhan Mantri Fasal Bima Yojana - Commercial/Horticultural Bajra Cover (Variant 2),SBI General Insurance (PMFBY Empanelled),Yield-Based Crop Insurance,Bajra,"Localized Risks - Landslide, Inundation",1.5,50,Within 30 days of yield data finalization,150000,Insurance Proposal Form; Passport Size Photograph; Ear-Tag / Animal Identification Certificate; Aadhaar Card,Horticulture Growers with Plantation Records,Farmer submits loss intimation with photographic evidence within 48 hours; insurer surveyor conducts field inspection before claim approval and disbursement.,All Districts,9.3
INS008,Pradhan Mantri Fasal Bima Yojana - Kharif Paddy Cover,Cholamandalam MS General Insurance (PMFBY Empanelled),Yield-Based Crop Insurance,Paddy,"Localized Risks - Landslide, Inundation",1.5,60,Within 30 days of yield data finalization,250000,Livestock Health & Vaccination Certificate; Land Ownership / Pattadar Passbook; Ear-Tag / Animal Identification Certificate; Insurance Proposal Form; Aadhaar Card; Village / Revenue Officer Certificate,Loanee Farmers (Compulsory Coverage via KCC/Crop Loan),"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.","Adilabad, Karimnagar, Nalgonda, Sangareddy, Suryapet, Warangal",8.9
INS009,Pradhan Mantri Fasal Bima Yojana - Rabi Sugarcane Cover,Reliance General Insurance (PMFBY Empanelled),Yield-Based Crop Insurance,Sugarcane,Prevented Sowing / Planting Risk,1.5,75,Within 60 days of claim intimation,75000,Ear-Tag / Animal Identification Certificate; Aadhaar Card; Passport Size Photograph; Land Ownership / Pattadar Passbook; Livestock Health & Vaccination Certificate,Non-Loanee Farmers (Voluntary Enrolment),"Claim intimation through insurer app, call centre, or agent within the specified window; assessment via remote sensing/satellite imagery combined with ground verification.",State-wide (All Notified Districts),8.2
INS010,Pradhan Mantri Fasal Bima Yojana - Commercial/Horticultural Red Gram (Tur Dal) Cover (Variant 2),National Insurance Company (PMFBY Empanelled),Yield-Based Crop Insurance,Red Gram (Tur Dal),Fire and Lightning,2.0,50,Within 30 days of yield data finalization,50000,Passport Size Photograph; Bank Passbook / Cancelled Cheque; Land Ownership / Pattadar Passbook; Aadhaar Card,Farmers with Registered Livestock and Health Certificate,Immediate death/loss intimation to insurer or veterinary officer within 24 hours; post-mortem and veterinary certificate required before claim settlement.,All Districts,5.4
