rule_id,rule_name,crop,state,soil_type,farmer_category,land_min,land_max,income_limit,aadhaar_required,recommended_scheme,recommended_loan,recommended_insurance,priority
RULE0001,Irrigation-Linked Scheme Match for Cotton on Red Soil,Cotton,All India,Red Soil,FPO Member Farmer,0.05,10.9,,Yes,Telangana Farm Mechanization Scheme,Warehouse Receipt / Post-Harvest Loan,Horticulture Crop Insurance Scheme,9.3
RULE0002,Subsidy & Credit Pathway for Women Farmer in Andhra Pradesh,Chilli,Andhra Pradesh,Loamy Soil,Women Farmer,0.58,3.91,500000,Yes,Telangana Horticulture Mission,Horticulture & Plantation Loan,Pradhan Mantri Fasal Bima Yojana (PMFBY) - Yield-Based Cover,5.0
RULE0003,Insurance Recommendation for Grapes under Black Soil (Regur) Conditions,Grapes,Telangana,Black Soil (Regur),Small Farmer,1.06,2.91,150000,No,Telangana Micro Irrigation Project Subsidy,Farmer Producer Organisation (FPO) Term Loan,Horticulture Crop Insurance Scheme,7.3
RULE0004,Subsidy & Credit Pathway for Sharecropper in All India,Cotton,All India,Loamy Soil,Sharecropper,0.91,2.64,250000,Yes,National Mission on Natural Farming (NMNF),Kisan Credit Card (KCC),Livestock Insurance Scheme,9.5
RULE0005,Small Holding Advisory Rule for FPO Member Farmer Growing Horticulture Crops,Horticulture Crops,Maharashtra,Saline / Alkaline Soil,FPO Member Farmer,0.26,10.85,300000,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Farmer Producer Organisation (FPO) Term Loan,Horticulture Crop Insurance Scheme,5.9
RULE0006,Risk Cover Advisory for Small Farmer on Clay Soil,Wheat,Karnataka,Clay Soil,Small Farmer,1.19,2.78,,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Fisheries & Aquaculture Loan,Horticulture Crop Insurance Scheme,5.1
RULE0007,Irrigation-Linked Scheme Match for Chickpea (Gram) on Clay Soil,Chickpea (Gram),Andhra Pradesh,Clay Soil,Marginal Farmer,0.5,1.96,300000,Yes,Telangana Farm Mechanization Scheme,Farmer Producer Organisation (FPO) Term Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),5.8
RULE0008,Priority Scheme Match for Oilseeds Growers on Clay Soil in Maharashtra,Oilseeds,Maharashtra,Clay Soil,Sharecropper,0.51,2.46,,Yes,PM Kusum Scheme (Solar Pump & Grid Connected Plants),Fisheries & Aquaculture Loan,Horticulture Crop Insurance Scheme,9.8
RULE0009,Small Holding Advisory Rule for Small Farmer Growing Banana,Banana,Telangana,Red Soil,Small Farmer,1.35,2.08,,Yes,"Formation and Promotion of 10,000 FPOs Scheme",Crop Loan (Seasonal Agricultural Operations),Private Comprehensive Crop Insurance Plan,8.5
RULE0010,Risk Cover Advisory for Tenant Farmer on Loamy Soil,Mango,Telangana,Loamy Soil,Tenant Farmer,0.52,3.06,200000,Yes,Telangana Organic Farming Promotion Scheme,Fisheries & Aquaculture Loan,Restructured Weather Based Crop Insurance Scheme (RWBCIS),9.4
RULE0011,Subsidy & Credit Pathway for Women Farmer in Telangana,Banana,Telangana,Alluvial Soil,Women Farmer,0.87,3.82,300000,Yes,Rythu Bima Life Insurance Scheme,Horticulture & Plantation Loan,Private Comprehensive Crop Insurance Plan,6.5
RULE0012,Small Holding Advisory Rule for Medium Farmer Growing Millets (Jowar/Bajra),Millets (Jowar/Bajra),Maharashtra,Loamy Soil,Medium Farmer,2.26,5.63,500000,Yes,National Livestock Mission,Kisan Credit Card (KCC),Restructured Weather Based Crop Insurance Scheme (RWBCIS),7.3
RULE0013,Irrigation-Linked Scheme Match for Paddy on Saline / Alkaline Soil,Paddy,All India,Saline / Alkaline Soil,Sharecropper,0.71,2.77,100000,Yes,Rythu Bima Life Insurance Scheme,Solar Pump / Renewable Energy Agri Loan,Private Comprehensive Crop Insurance Plan,5.7
RULE0014,Small Holding Advisory Rule for Large Farmer Growing Horticulture Crops,Horticulture Crops,Telangana,Loamy Soil,Large Farmer,5.05,10.93,100000,Yes,National Mission on Natural Farming (NMNF),Micro Irrigation / Drip & Sprinkler Loan,Livestock Insurance Scheme,5.2
RULE0015,Priority Scheme Match for Horticulture Crops Growers on Laterite Soil in Telangana,Horticulture Crops,Telangana,Laterite Soil,Large Farmer,5.1,10.56,,Yes,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Warehouse Receipt / Post-Harvest Loan,Private Comprehensive Crop Insurance Plan,7.7
RULE0016,Government Scheme Trigger for Oilseeds Cultivation in Andhra Pradesh,Oilseeds,Andhra Pradesh,Saline / Alkaline Soil,Sharecropper,0.89,2.26,500000,Yes,Rythu Bandhu Investment Support Scheme,Warehouse Receipt / Post-Harvest Loan,Livestock Insurance Scheme,9.6
RULE0017,Small Holding Advisory Rule for Sharecropper Growing Horticulture Crops,Horticulture Crops,Andhra Pradesh,Black Soil (Regur),Sharecropper,0.85,2.12,,Yes,Pradhan Mantri Matsya Sampada Yojana (PMMSY),Warehouse Receipt / Post-Harvest Loan,Livestock Insurance Scheme,6.6
