scheme_id,scheme_name,scheme_type,government_level,state,ministry,department,objective,description,beneficiary_type,eligible_crop,eligible_farmer,minimum_land,maximum_land,income_limit,minimum_age,maximum_age,aadhaar_required,bank_account_required,soil_card_required,insurance_required,documents_required,maximum_subsidy,subsidy_percentage,loan_support,interest_subvention,processing_time_days,application_mode,official_portal,priority_score,active_status
SCHM001,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Mechanization Subsidy,Central,All India,Ministry of Rural Development,Department of Rural Development,"To provide financial and technical support to eligible farmers under the 'Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)' initiative, strengthening mechanization subsidy across India.","Pradhan Mantri Kisan Samman Nidhi (PM-KISAN) is a central-level scheme implemented to promote mechanization subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Any Registered Farmer,Soybean,Women-headed Farm Households,0,2.5,300000,18,60,No,Yes,Yes,Yes,Soil Health Card; FPO Registration Certificate; Voter ID; Passport Size Photograph,5000,100,Yes,None,45,Online and Offline (CSC),https://agriwelfare.gov.in,7.7,Active
SCHM002,Pradhan Mantri Fasal Bima Yojana (PMFBY),Market Support,Central,All India,Ministry of Finance,Department of Financial Services,"To provide financial and technical support to eligible farmers under the 'Pradhan Mantri Fasal Bima Yojana (PMFBY)' initiative, strengthening market support across India.","Pradhan Mantri Fasal Bima Yojana (PMFBY) is a central-level scheme implemented to promote market support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Tenant Farmer,Pulses,All Categories of Farmers,0.5,2.5,100000,18,60,Yes,Yes,No,Yes,FPO Registration Certificate; Income Certificate; Passport Size Photograph; Ration Card; Aadhaar Card; Tenant Farmer Certificate,100000,33,No,None,7,Online and Offline (CSC),https://agriwelfare.gov.in,6.5,Inactive
SCHM003,Kisan Credit Card (KCC) Scheme,Fisheries Support,Central,All India,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Food & Public Distribution,"To provide financial and technical support to eligible farmers under the 'Kisan Credit Card (KCC) Scheme' initiative, strengthening fisheries support across India.","Kisan Credit Card (KCC) Scheme is a central-level scheme implemented to promote fisheries support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Any Registered Farmer,Cotton,Landowning Farmers,0,5,,18,60,No,Yes,Yes,No,Bank Passbook; Income Certificate; Encumbrance Certificate; Soil Health Card; Ration Card; Land Passbook / Pattadar Passbook,150000,40,Yes,3% p.a.,20,Offline,https://agriwelfare.gov.in,6.3,Inactive
SCHM004,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Credit Support,Central,All India,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Food & Public Distribution,"To provide financial and technical support to eligible farmers under the 'Pradhan Mantri Krishi Sinchayee Yojana (PMKSY)' initiative, strengthening credit support across India.","Pradhan Mantri Krishi Sinchayee Yojana (PMKSY) is a central-level scheme implemented to promote credit support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Women Farmer,Paddy,All Categories of Farmers,1,5,,18,70,Yes,Yes,No,No,Bank Passbook; Ration Card; FPO Registration Certificate; Soil Health Card; Voter ID; Passport Size Photograph; Encumbrance Certificate,250000,75,Yes,1.5% p.a.,20,Offline,https://agriwelfare.gov.in,6.1,Active
SCHM005,Soil Health Card Scheme,Price Support,Central,All India,Ministry of New and Renewable Energy,Department of Renewable Energy Programmes,"To provide financial and technical support to eligible farmers under the 'Soil Health Card Scheme' initiative, strengthening price support across India.","Soil Health Card Scheme is a central-level scheme implemented to promote price support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Small & Marginal Farmer,Maize,Small & Marginal Farmers,0,,200000,18,,No,Yes,No,Yes,Crop Sowing Certificate; Mobile Number linked to Aadhaar; Land Passbook / Pattadar Passbook; FPO Registration Certificate,100000,50,Yes,2% p.a.,15,Offline,https://agriwelfare.gov.in,5.8,Active
SCHM006,National Agriculture Market (e-NAM),Irrigation Support,Central,All India,Ministry of Finance,Department of Financial Services,"To provide financial and technical support to eligible farmers under the 'National Agriculture Market (e-NAM)' initiative, strengthening irrigation support across India.","National Agriculture Market (e-NAM) is a central-level scheme implemented to promote irrigation support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Dairy Farmer,Maize,FPO Member Farmers,0,2.5,150000,18,60,Yes,Yes,No,Yes,Income Certificate; Encumbrance Certificate; Ration Card; Soil Health Card,5000,50,Yes,2% p.a.,45,Offline,https://agriwelfare.gov.in,9.1,Inactive
SCHM007,Pradhan Mantri Annadata Aay SanraksHan Abhiyan (PM-AASHA),Capacity Building,Central,All India,"Ministry of Fisheries, Animal Husbandry & Dairying",Department of Fisheries,"To provide financial and technical support to eligible farmers under the 'Pradhan Mantri Annadata Aay SanraksHan Abhiyan (PM-AASHA)' initiative, strengthening capacity building across India.","Pradhan Mantri Annadata Aay SanraksHan Abhiyan (PM-AASHA) is a central-level scheme implemented to promote capacity building, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Horticulture Grower,Fruits,Small & Marginal Farmers,0.5,10,250000,21,65,Yes,Yes,Yes,No,Tenant Farmer Certificate; Voter ID; FPO Registration Certificate; Land Passbook / Pattadar Passbook; Soil Health Card; Passport Size Photograph,8000,60,Yes,1.5% p.a.,30,Online,https://agriwelfare.gov.in,7.9,Active
SCHM008,Rashtriya Krishi Vikas Yojana (RKVY),Subsidy,Central,All India,Ministry of Agriculture & Farmers Welfare,Department of Agriculture & Farmers Welfare,"To provide financial and technical support to eligible farmers under the 'Rashtriya Krishi Vikas Yojana (RKVY)' initiative, strengthening subsidy across India.","Rashtriya Krishi Vikas Yojana (RKVY) is a central-level scheme implemented to promote subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Marginal Farmer,Paddy,All Categories of Farmers,0,10,100000,18,,Yes,Yes,Yes,No,Encumbrance Certificate; Tenant Farmer Certificate; Caste Certificate; Soil Health Card; Land Passbook / Pattadar Passbook,8000,75,Yes,None,20,Offline,https://agriwelfare.gov.in,9.3,Active
SCHM009,Sub-Mission on Agricultural Mechanization (SMAM),Mechanization Subsidy,Central,All India,Ministry of Rural Development,Department of Rural Development,"To provide financial and technical support to eligible farmers under the 'Sub-Mission on Agricultural Mechanization (SMAM)' initiative, strengthening mechanization subsidy across India.","Sub-Mission on Agricultural Mechanization (SMAM) is a central-level scheme implemented to promote mechanization subsidy, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Sharecropper,Millets (Jowar/Bajra),Tenant & Landowning Farmers,0,2.5,100000,21,65,No,Yes,Yes,Yes,Soil Health Card; Land Passbook / Pattadar Passbook; Tenant Farmer Certificate; Voter ID; Encumbrance Certificate; Aadhaar Card; Crop Sowing Certificate,8000,50,Yes,None,20,Offline,https://agriwelfare.gov.in,6.1,Active
SCHM010,National Food Security Mission (NFSM),Fisheries Support,Central,All India,Ministry of Agriculture & Farmers Welfare,Department of Agriculture & Farmers Welfare,"To provide financial and technical support to eligible farmers under the 'National Food Security Mission (NFSM)' initiative, strengthening fisheries support across India.","National Food Security Mission (NFSM) is a central-level scheme implemented to promote fisheries support, improve farm incomes, and enhance agricultural resilience through targeted subsidies, credit linkages, and beneficiary support mechanisms.",Sharecropper,All Crops,Farmers with Valid Land Records,0.5,7.5,150000,21,,Yes,Yes,Yes,Yes,Aadhaar Card; Passport Size Photograph; Mobile Number linked to Aadhaar; Voter ID; FPO Registration Certificate,250000,60,Yes,2% p.a.,30,Offline,https://agriwelfare.gov.in,7.5,Inactive
