bank_id,bank_name,branch_name,district,state,ifsc,manager_name,phone,email,latitude,longitude,loan_available,insurance_available,government_linked,working_days
SBI001,State Bank of India,Jogulamba Gadwal Town Branch,Jogulamba Gadwal,Telangana,SBIN0491823,Naveen Verma,040-20715572,branch.jogulamba.gadwal.town.branch@sbi.co.in,16.278686,77.808872,Yes,Yes,Yes,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
SBI002,State Bank of India,Wanaparthy Extension Counter,Wanaparthy,Telangana,SBIN0485176,Suresh Kumar,040-22166605,branch.wanaparthy.extension.counter@sbi.co.in,16.356809,78.102924,Yes,No,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
SBI003,State Bank of India,Siddipet Circle Office Branch,Siddipet,Telangana,SBIN0692374,Anitha Reddy,040-21842011,branch.siddipet.circle.office.branch@sbi.co.in,18.111342,78.900289,Yes,Yes,No,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
SBI004,State Bank of India,Jagtial Market Road Branch,Jagtial,Telangana,SBIN0324856,Anjali Reddy,040-26393151,branch.jagtial.market.road.branch@sbi.co.in,18.834568,78.924201,Yes,Yes,Yes,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
SBI005,State Bank of India,Nagarkurnool Circle Office Branch,Nagarkurnool,Telangana,SBIN0423695,Anil Patel,040-22119816,branch.nagarkurnool.circle.office.branch@sbi.co.in,16.498243,78.316297,Yes,Yes,No,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
SBI006,State Bank of India,Kamareddy Collectorate Road Branch,Kamareddy,Telangana,SBIN0157747,Anjali Verma,040-22086531,branch.kamareddy.collectorate.road.branch@sbi.co.in,18.343555,78.365436,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
SBI007,State Bank of India,Rangareddy Circle Office Branch,Rangareddy,Telangana,SBIN0334607,Vijay Yadav,040-23924292,branch.rangareddy.circle.office.branch@sbi.co.in,17.310987,78.522413,Yes,Yes,No,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
SBI008,State Bank of India,Khammam Main Branch,Khammam,Telangana,SBIN0614143,Anil Reddy,040-25661219,branch.khammam.main.branch@sbi.co.in,17.265132,80.151523,Yes,Yes,No,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
SBI009,State Bank of India,Jangaon Circle Office Branch,Jangaon,Telangana,SBIN0097165,Anitha Reddy,040-26257827,branch.jangaon.circle.office.branch@sbi.co.in,17.714094,79.212169,Yes,Yes,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
SBI010,State Bank of India,Wanaparthy Collectorate Road Branch,Wanaparthy,Telangana,SBIN0325746,Padma Rathod,040-25266919,branch.wanaparthy.collectorate.road.branch@sbi.co.in,16.395958,78.035505,Yes,No,No,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
SBI011,State Bank of India,Khammam Town Branch,Khammam,Telangana,SBIN0925391,Krishna Verma,040-24298533,branch.khammam.town.branch@sbi.co.in,17.235655,80.145213,Yes,Yes,No,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
SBI012,State Bank of India,Nirmal RTC Cross Roads Branch,Nirmal,Telangana,SBIN0451854,Sunil Sharma,040-26867459,branch.nirmal.rtc.cross.roads.branch@sbi.co.in,19.12532,78.347324,No,No,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
SBI013,State Bank of India,Siddipet Extension Counter,Siddipet,Telangana,SBIN0699171,Kiran Yadav,040-23262697,branch.siddipet.extension.counter@sbi.co.in,18.119624,78.862428,Yes,No,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
SBI014,State Bank of India,Narayanpet Bus Stand Branch,Narayanpet,Telangana,SBIN0934626,Vani Reddy Gari,040-22879957,branch.narayanpet.bus.stand.branch@sbi.co.in,16.765434,77.540365,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
SBI015,State Bank of India,Sangareddy Gandhi Chowk Branch,Sangareddy,Telangana,SBIN0419326,Ramesh Rao,040-28416395,branch.sangareddy.gandhi.chowk.branch@sbi.co.in,17.616325,78.123175,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
SBI016,State Bank of India,Vikarabad Bus Stand Branch,Vikarabad,Telangana,SBIN0276726,Pooja Rathod,040-26993367,branch.vikarabad.bus.stand.branch@sbi.co.in,17.338912,77.934279,Yes,Yes,No,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
SBI017,State Bank of India,Wanaparthy Town Branch,Wanaparthy,Telangana,SBIN0845547,Sujatha Rao,040-29739358,branch.wanaparthy.town.branch@sbi.co.in,16.330628,78.014962,Yes,Yes,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
SBI018,State Bank of India,Sangareddy Rural Branch,Sangareddy,Telangana,SBIN0417801,Meena Goud,040-24442638,branch.sangareddy.rural.branch@sbi.co.in,17.5949,78.047011,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
SBI019,State Bank of India,Medak Rural Branch,Medak,Telangana,SBIN0438475,Sandhya Naik,040-23000337,branch.medak.rural.branch@sbi.co.in,18.085692,78.287464,Yes,Yes,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
SBI020,State Bank of India,Kumuram Bheem Asifabad Mandal Branch,Kumuram Bheem Asifabad,Telangana,SBIN0600621,Sunil Reddy Gari,040-27991883,branch.kumuram.bheem.asifabad.mandal.branch@sbi.co.in,19.329966,79.328368,Yes,No,Yes,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
SBI021,State Bank of India,Jagtial Mandal Branch,Jagtial,Telangana,SBIN0075648,Naveen Reddy Gari,040-20066111,branch.jagtial.mandal.branch@sbi.co.in,18.793217,78.872487,Yes,Yes,No,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
SBI022,State Bank of India,Rajanna Sircilla Extension Counter,Rajanna Sircilla,Telangana,SBIN0964683,Suresh Verma,040-20606356,branch.rajanna.sircilla.extension.counter@sbi.co.in,18.374894,78.780098,Yes,Yes,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
SBI023,State Bank of India,Khammam Collectorate Road Branch,Khammam,Telangana,SBIN0812678,Divya Naidu,040-23162130,branch.khammam.collectorate.road.branch@sbi.co.in,17.213152,80.145308,Yes,Yes,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
CNRB001,Canara Bank,Warangal Rural Mandal Branch,Warangal Rural,Telangana,CNRB0674130,Mahesh Naik,040-20210344,branch.warangal.rural.mandal.branch@canarabank.com,17.946358,79.419714,Yes,No,No,"Monday to Saturday (10:00 AM - 4:00 PM), except 2nd & 4th Saturday"
CNRB002,Canara Bank,Siddipet Extension Counter,Siddipet,Telangana,CNRB0916661,Sunil Rao,040-22708399,branch.siddipet.extension.counter@canarabank.com,18.108475,78.8753,No,No,No,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
CNRB003,Canara Bank,Jagtial Extension Counter,Jagtial,Telangana,CNRB0415788,Ramesh Sharma,040-22664691,branch.jagtial.extension.counter@canarabank.com,18.7662,78.91993,Yes,Yes,Yes,"Monday to Friday (9:30 AM - 3:30 PM), Saturday (9:30 AM - 1:30 PM)"
CNRB004,Canara Bank,Yadadri Bhuvanagiri Town Branch,Yadadri Bhuvanagiri,Telangana,CNRB0042252,Swathi Goud,040-25323845,branch.yadadri.bhuvanagiri.town.branch@canarabank.com,17.52641,79.085844,Yes,Yes,No,"Monday to Friday (10:00 AM - 4:00 PM), Saturday (10:00 AM - 2:00 PM)"
CNRB005,Canara Bank,Khammam Bus Stand Branch,Khammam,Telangana,CNRB0574594,Srinivas Naik,040-20311073,branch.khammam.bus.stand.branch@canarabank.com,17.234966,80.128467,Yes,No,No,"Monday to Saturday (10:00 AM - 5:00 PM), Sunday Closed"
