subsidy_id,subsidy_name,scheme_name,crop,state,subcategory,maximum_amount,percentage,eligibility,documents,application_process,priority_score
SUB001,Subsidy for Foundation Seed,Paramparagat Krishi Vikas Yojana (PKVY),Paddy,Telangana,Seed & Planting Material,5250,50,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Voter ID / Address Proof; FPO / SHG Registration Certificate; Quotation from Authorized Dealer; Soil Health Card; Caste Certificate; Crop Sowing Certificate,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,7.0
SUB002,Subsidy for Farm Equipment Bank,Telangana Farm Mechanization Scheme,All Crops,Telangana,Custom Hiring Centre,2000000,40,Available to small and marginal farmers with valid land records who have not availed a similar subsidy in the last 3 years.,Soil Health Card; Voter ID / Address Proof; Aadhaar Card; Crop Sowing Certificate; Quotation from Authorized Dealer,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,5.3
SUB003,Subsidy for Bio-Fertilizer,Rythu Bandhu Investment Support Scheme,Maize,Telangana,Fertilizer & Soil Health,8100,50,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Land Ownership / Pattadar Passbook; Passport Size Photograph; Income Certificate; Aadhaar Card; Bank Passbook / Cancelled Cheque; Caste Certificate; Previous Subsidy Non-Availment Declaration,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",6.8
SUB004,Subsidy for Vermi-Compost Unit,Agriculture Infrastructure Fund (AIF),Paddy,All India,Fertilizer & Soil Health,8950,50,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Quotation from Authorized Dealer; Tenant Farmer Certificate; Passport Size Photograph; Land Ownership / Pattadar Passbook; Caste Certificate,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,7.9
SUB005,Subsidy for Custom Hiring Centre Setup,National Livestock Mission,Cotton,All India,Custom Hiring Centre,575000,40,Applicable to farmers with a minimum operational landholding and an active bank account for Direct Benefit Transfer.,Passport Size Photograph; Land Ownership / Pattadar Passbook; Bank Passbook / Cancelled Cheque; Crop Sowing Certificate; Caste Certificate; Quotation from Authorized Dealer,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,7.4
SUB006,Subsidy for Dairy Shed Construction,Telangana Farm Mechanization Scheme,Not Crop Specific - Buffalo,Telangana,Livestock & Dairy Development,51250,50,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Soil Health Card; Caste Certificate; Quotation from Authorized Dealer; Crop Sowing Certificate; Land Ownership / Pattadar Passbook; Passport Size Photograph; Aadhaar Card,Submit the application at the nearest Agriculture Extension Office (AEO) or Mandal Agricultural Office along with supporting documents for scrutiny and approval.,9.0
SUB007,Subsidy for Farm Equipment Bank (Variant 2),Telangana Sheep Distribution Scheme,Maize,Telangana,Custom Hiring Centre,1250000,40,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Aadhaar Card; Income Certificate; FPO / SHG Registration Certificate; Tenant Farmer Certificate,Apply through the Common Service Centre (CSC) or empanelled bank branch; application is forwarded to the district-level sanctioning committee for approval.,6.6
SUB008,Subsidy for Pond Construction,Rythu Bandhu Investment Support Scheme,Not Crop Specific - Fisheries,Telangana,Fisheries & Aquaculture,72000,90,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Land Ownership / Pattadar Passbook; Soil Health Card; Tenant Farmer Certificate; Income Certificate; Quotation from Authorized Dealer,Submit application via the mobile app or web portal with geo-tagged photographs of the proposed site; disbursement follows technical inspection by the department officer.,8.2
SUB009,Subsidy for Sprayer Unit,Sub-Mission on Agricultural Mechanization (SMAM),Not Crop Specific,All India,Farm Mechanization & Equipment,125000,50,"Open to individual farmers, Self-Help Groups (SHGs), and Farmer Producer Organisations (FPOs) engaged in agricultural activity.",Tenant Farmer Certificate; FPO / SHG Registration Certificate; Voter ID / Address Proof; Caste Certificate; Bank Passbook / Cancelled Cheque; Crop Sowing Certificate; Soil Health Card,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",9.4
SUB010,Subsidy for Bio-Fertilizer (Variant 2),Telangana Godown and Cold Storage Subsidy Scheme,Paddy,Telangana,Fertilizer & Soil Health,15750,90,"Extended to women farmers, SC/ST farmers, and differently-abled farmers on a priority basis, subject to income limit norms.",Previous Subsidy Non-Availment Declaration; Caste Certificate; Aadhaar Card; Income Certificate; Quotation from Authorized Dealer,"Register on the state seed/subsidy portal, select the desired input or equipment, pay the farmer's contribution share, and receive the subsidy amount post-delivery verification.",5.5
