document_id,document_name,scheme_name,loan_name,mandatory,accepted_format,verification_required,issuing_authority
DOC001,Water Source Certificate (Borewell/Canal),Rashtriya Krishi Vikas Yojana (RKVY),Warehouse Receipt / Post-Harvest Loan,Yes,"JPEG / PNG (Scanned Copy, max 1MB)",No,"Irrigation Department, Telangana"
DOC002,Land Ownership / Pattadar Passbook,Micro Irrigation Fund (MIF),Farmer Producer Organisation (FPO) Term Loan,Yes,PDF (Digitally Signed / e-Sign),No,"Revenue Department, Telangana"
DOC003,Ration Card,Sub-Mission on Agricultural Mechanization (SMAM),Solar Pump / Renewable Energy Agri Loan,Yes,PDF (Digitally Signed / e-Sign),Yes,Civil Supplies Department
DOC004,Voter ID Card,Pradhan Mantri Kisan Samman Nidhi (PM-KISAN),Farmer Producer Organisation (FPO) Term Loan,Yes,"JPEG / PNG (Scanned Copy, max 1MB)",Yes,Election Commission of India
DOC005,Project Report / Detailed Project Report (DPR),"Formation and Promotion of 10,000 FPOs Scheme",Farm Mechanization / Tractor Loan,Yes,"PDF (Scanned Copy, max 2MB)",Yes,Chartered Accountant / Consultant
DOC006,Village / Revenue Officer Certificate,Rashtriya Krishi Vikas Yojana (RKVY),Solar Pump / Renewable Energy Agri Loan,Yes,"JPEG / PNG (Scanned Copy, max 1MB)",Yes,Village Revenue Officer (VRO)
DOC007,Bank Passbook / Cancelled Cheque,Paramparagat Krishi Vikas Yojana (PKVY),Agri Infrastructure & Cold Storage Loan,Yes,PDF (Digitally Signed / e-Sign),No,Issuing Bank Branch
DOC008,No Dues Certificate from Other Banks,,Solar Pump / Renewable Energy Agri Loan,Yes,Physical Original for Verification Only,Yes,Issuing Bank Branch
DOC009,Previous Subsidy Non-Availment Declaration,National Mission on Natural Farming (NMNF),Crop Loan (Seasonal Agricultural Operations),Yes,Original + Photocopy (Physical Submission),No,Self-Declaration / Agriculture Department
DOC010,Bank Guarantee / Surety Bond,Telangana Farm Mechanization Scheme,Crop Loan (Seasonal Agricultural Operations),Yes,Physical Original for Verification Only,No,Issuing Bank Branch
DOC011,Livestock Health & Vaccination Certificate,Soil Health Card Scheme,Warehouse Receipt / Post-Harvest Loan,No,"PDF (Scanned Copy, max 2MB)",No,"Veterinary Department, Telangana"
DOC012,Village / Revenue Officer Certificate,"Formation and Promotion of 10,000 FPOs Scheme",,Yes,PDF (Digitally Signed / e-Sign),Yes,Village Revenue Officer (VRO)
DOC013,Ration Card,Telangana Micro Irrigation Project Subsidy,Farmer Producer Organisation (FPO) Term Loan,Yes,"JPEG / PNG (Scanned Copy, max 1MB)",No,Civil Supplies Department
